year,month,date,Season,dataSeason,company,track,volume_origin,volume_desc,volume,origin_round,round
2018,Sep,Sep-18,Q3,2018 Q3,DreambigCareer,Study Abroad Services,数亿人民币,20000,20000,Strategic Investment,Strategic Investment
2016,Nov,Nov-16,Q4,2016 Q4,DreambigCareer来者教育,Study Abroad Services,800,800,800,Pre-A,Pre-A
2018,Apr,Apr-18,Q2,2018 Q2,EduCare,Study Abroad Services,200,200,200,Seed/Angel,Seed/Angel
2016,Aug,Aug-16,Q3,2016 Q3,Edusoho,SaaS & Informatization,2000,2000,2000,A,A
2015,Mar,Mar-15,Q1,2015 Q1,Emerald Education,Vocational Edu.,6000,6000,6000,A,A
2015,Dec,Dec-15,Q4,2015 Q4,Emerald Education,Vocational Edu.,15000,15000,15000,B,B
2016,Nov,Nov-16,Q4,2016 Q4,Emerald Education,Vocational Edu.,20000,20000,20000,C,C
2016,Jan,Jan-17,Q1,2017 Q1,Emerald Education,Vocational Edu.,30000,30000,30000,C+,C
2017,May,May-17,Q2,2017 Q2,FaceThink,Paid Knowledge,2000,2000,2000,Pre-A,Pre-A
2018,Jan,Jan-18,Q1,2018 Q1,Find智慧钢琴,Enrichment Programs,20000,20000,20000,A,A
2014,Dec,Dec-14,Q4,2014 Q4,Finger,Enrichment Programs,未披露,0,0,Seed/Angel,Seed/Angel
2015,Jun,Jun-15,Q2,2015 Q2,Finger,Enrichment Programs,850万人民币,850,850,Pre-A,Pre-A
2015,Dec,Dec-15,Q4,2015 Q4,Finger,Enrichment Programs,未披露,0,0,Undiscloused,Undiscloused
2016,Apr,Apr-16,Q2,2016 Q2,Finger,Enrichment Programs,500万美元,3250,3250,A,A
2018,Oct,Oct-18,Q4,2018 Q4,Finger,Enrichment Programs,1亿人民币,10000,10000,B,B
2015,Aug,Aug-15,Q3,2015 Q3,Gaosi Education Group,K12,40000,40000,40000,B,B
2017,Sep,Sep-17,Q3,2017 Q3,Gaosi Education Group,K12,55000,55000,55000,C,C
2015,Feb,Feb-15,Q1,2015 Q1,Genshuixue,K12,31850,31850,31850,A,A
2017,Apr,Apr-17,Q2,2017 Q2,GitChat码字科技,Vocational Edu.,200,200,200,Seed/Angel,Seed/Angel
2014,Aug,Aug-14,Q3,2014 Q3,GTA国泰安,SaaS & Informatization,2000,2000,2000,A,A
2018,Sep,Sep-18,Q3,2018 Q3,GymROO,Early Childhood Edu.,1000万人民币,1000,1000,A,A
